BATCH,VEHICLE,BANK,KM,YEAR,FUEL,COLOR,FIPE,YARD,RESUME-TYPE,TYPE,HAS-KEY
156,land rover/discovery 4 se,BANCO SANTANDER S/A,192.082,10/11,Diesel,BRANCA,"R$ 103.625,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Utilitários,Sim
158,volvo/xc60 awd,BANCO SANTANDER S/A,,10/10,Gasolina,BRANCA,"R$ 56.590,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Utilitários,Não
160,chevrolet/classic ls (2p/4p),BANCO SANTANDER S/A,446.381,10/11,Flex,BRANCA,"R$ 22.945,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
162,ford/ka flex (2p),BANCO SANTANDER S/A,154.598,10/11,Flex,PRETA,"R$ 22.117,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
164,honda/cg 160 start,BANCO SANTANDER S/A,66.586,17/17,Gasolina,VERMELHA,"R$ 11.276,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
167,ford/focus hc flex (4p),BANCO SANTANDER S/A,171.670,11/12,Flex,PRATA,"R$ 34.867,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
169,caoa-chery/face (4p),BANCO SANTANDER S/A,110.754,11/12,Flex,AZUL,"R$ 17.517,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
171,fiat/punto attractive (4p),BANCO SANTANDER S/A,121.308,11/11,Flex,PRETA,"R$ 29.525,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
175,honda/cg 160 titan ex,BANCO SANTANDER S/A,,17/17,Flex,VERMELHA,"R$ 13.227,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
177,hyundai/tucson glsb,BANCO SANTANDER S/A,225.606,16/17,Flex,BRANCA,"R$ 64.397,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
181,fiat/siena essence 1.6 (4p),BANCO SANTANDER S/A,120.920,15/16,Flex,BRANCA,"R$ 44.185,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
